id,language_id,meaning_id,romanised,phon_form,gloss,notes,_order,dubious,not_swadesh_term,phoneMic,rfcWebLookup1,rfcWebLookup2,nativeScript
,0,217,dḷkus,,,,,,,dḷkus,,,
,0,218,eimi,,,,,,,eimi,,,
,0,219,bhecō,,,,,,,bhecō,,,
,0,220,weghō,,,,,,,weghō,,,
,0,221,emō,,,,,,,emō,,,
,0,222,kēlājō,,,,,,,kēlājō,,,
,0,223,dhrensājō,,,,,,,dhrensājō,,,
,0,225,ghrewō,,,,,,,ghrewō,,,
,0,226,,,,,,,,,,,
,0,224,dhídhēmi,,,,,,,dhídhēmi,,,
,0,186,kḷtos,,,,,,,kḷtos,,,
,0,10,tarsós,,,,,,,tarsós,,,
,0,184,aigros,,,,,,,aigros,,,
